File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF387FSA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BRY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		2	2_1							/files/ENCFF356LFX/, /files/ENCFF618AQB/, /files/ENCFF855LUO/, /files/ENCFF886PFV/	201621	ENCODE Processing Pipeline	e2fd6e7355698b77360ef9007d4f97ba		https://www.encodeproject.org/files/ENCFF387FSA/@@download/ENCFF387FSA.bed.gz				released	s3://encode-public/2020/12/26/4214d5a8-6260-4dfa-bb96-b059af67c4fa/ENCFF387FSA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/4214d5a8-6260-4dfa-bb96-b059af67c4fa/ENCFF387FSA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed read lengths, inconsistent platforms, low read depth		
ENCFF137TSM	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BRY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF345FFX/, /files/ENCFF618AQB/, /files/ENCFF855LUO/, /files/ENCFF886PFV/	5058732	ENCODE Processing Pipeline	86114cdf66798d189abca9f7cc0307e0		https://www.encodeproject.org/files/ENCFF137TSM/@@download/ENCFF137TSM.bed.gz				released	s3://encode-public/2020/12/26/80255eb0-6417-4bf4-a72d-ef8b44c5fb3b/ENCFF137TSM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/80255eb0-6417-4bf4-a72d-ef8b44c5fb3b/ENCFF137TSM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed read lengths, inconsistent platforms, low read depth		
ENCFF849GQH	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BRY	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF345FFX/, /files/ENCFF618AQB/, /files/ENCFF855LUO/, /files/ENCFF886PFV/	5003493	ENCODE Processing Pipeline	623975005d01f9249340126ba8015851		https://www.encodeproject.org/files/ENCFF849GQH/@@download/ENCFF849GQH.bed.gz				released	s3://encode-public/2020/12/26/0f5e1ec6-d092-4491-a918-795770351a7d/ENCFF849GQH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/0f5e1ec6-d092-4491-a918-795770351a7d/ENCFF849GQH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mixed read lengths, inconsistent platforms, low read depth		
ENCFF668STW	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1	1_1							/files/ENCFF559ZZZ/, /files/ENCFF101DVO/	996671	ENCODE Processing Pipeline	74b7a7a5209e1e376240e82b8d23b19c		https://www.encodeproject.org/files/ENCFF668STW/@@download/ENCFF668STW.bed.gz				released	s3://encode-public/2018/06/15/923ff56e-3b99-4ec6-83a7-906da4fde3fc/ENCFF668STW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/15/923ff56e-3b99-4ec6-83a7-906da4fde3fc/ENCFF668STW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length		extremely low read depth
ENCFF441WKB	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		2	2_1							/files/ENCFF559ZZZ/, /files/ENCFF175PHI/	6500963	ENCODE Processing Pipeline	97d550bdf9e657ae436021152dd55934		https://www.encodeproject.org/files/ENCFF441WKB/@@download/ENCFF441WKB.bed.gz				released	s3://encode-public/2018/06/15/b827ed00-84a2-45f3-af9d-347e0c37698d/ENCFF441WKB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/15/b827ed00-84a2-45f3-af9d-347e0c37698d/ENCFF441WKB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length		extremely low read depth
ENCFF518JFN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF559ZZZ/, /files/ENCFF175PHI/, /files/ENCFF101DVO/	6723313	ENCODE Processing Pipeline	6e541444598cdb9d6e3fe893729fb92d		https://www.encodeproject.org/files/ENCFF518JFN/@@download/ENCFF518JFN.bed.gz				released	s3://encode-public/2018/06/15/3db9fcde-4521-489d-9380-d2b75f09df83/ENCFF518JFN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/15/3db9fcde-4521-489d-9380-d2b75f09df83/ENCFF518JFN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length		extremely low read depth
ENCFF239NXT	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF441WKB/, /files/ENCFF668STW/, /files/ENCFF419RSJ/, /files/ENCFF518JFN/	18145	ENCODE Processing Pipeline	68e69881750b97ad38a2b1859e0dea78		https://www.encodeproject.org/files/ENCFF239NXT/@@download/ENCFF239NXT.bed.gz				released	s3://encode-public/2018/06/15/b6e29bf5-25ac-4258-892d-674ac0ae394d/ENCFF239NXT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/15/b6e29bf5-25ac-4258-892d-674ac0ae394d/ENCFF239NXT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length		extremely low read depth
ENCFF943NOT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF441WKB/, /files/ENCFF668STW/, /files/ENCFF419RSJ/, /files/ENCFF518JFN/	25123	ENCODE Processing Pipeline	9aeebb6c94faeda4fc0a3408ec829fa1		https://www.encodeproject.org/files/ENCFF943NOT/@@download/ENCFF943NOT.bed.gz				released	s3://encode-public/2018/06/15/b2502673-79bc-4dd5-822b-8a7a13346e02/ENCFF943NOT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/06/15/b2502673-79bc-4dd5-822b-8a7a13346e02/ENCFF943NOT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length		extremely low read depth
ENCFF171JFU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1	1_1							/files/ENCFF526ZIN/, /files/ENCFF912SAD/, /files/ENCFF356LFX/	9534	ENCODE Processing Pipeline	b8306a5f924081e9fd1674e2943437d9		https://www.encodeproject.org/files/ENCFF171JFU/@@download/ENCFF171JFU.bed.gz				released	s3://encode-public/2021/02/16/dfc774d8-8902-4aaa-b65d-b6ad3b57ac06/ENCFF171JFU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/dfc774d8-8902-4aaa-b65d-b6ad3b57ac06/ENCFF171JFU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF742KHG	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF912SAD/	3918245	ENCODE Processing Pipeline	e4ee6eac3b95ed1e82e65ee6836231e9		https://www.encodeproject.org/files/ENCFF742KHG/@@download/ENCFF742KHG.bed.gz				released	s3://encode-public/2021/02/16/3e84fa71-480d-43c1-961f-08751439113e/ENCFF742KHG.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/3e84fa71-480d-43c1-961f-08751439113e/ENCFF742KHG.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF533DBK	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1	1_1							/files/ENCFF526ZIN/, /files/ENCFF912SAD/	55807	ENCODE Processing Pipeline	51d6fbf0dec59e88582261e95074d054		https://www.encodeproject.org/files/ENCFF533DBK/@@download/ENCFF533DBK.bed.gz				released	s3://encode-public/2021/02/16/63ae58ae-5239-496a-a6f0-3c25f89b7bda/ENCFF533DBK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/63ae58ae-5239-496a-a6f0-3c25f89b7bda/ENCFF533DBK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF062ARK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		2	2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF356LFX/	26345	ENCODE Processing Pipeline	88943c4c0b1168833ee5b0537cd7167a		https://www.encodeproject.org/files/ENCFF062ARK/@@download/ENCFF062ARK.bed.gz				released	s3://encode-public/2021/02/16/2aceb0ac-4a13-4e89-ba67-cb93d9d80826/ENCFF062ARK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/2aceb0ac-4a13-4e89-ba67-cb93d9d80826/ENCFF062ARK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF290YEI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		2	2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/	3900448	ENCODE Processing Pipeline	1efe68e4c76b86283d5fd7048ec51d0f		https://www.encodeproject.org/files/ENCFF290YEI/@@download/ENCFF290YEI.bed.gz				released	s3://encode-public/2021/02/16/6b5fb359-7eae-4a16-a551-1c453abbb5dd/ENCFF290YEI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/6b5fb359-7eae-4a16-a551-1c453abbb5dd/ENCFF290YEI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF718OGI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF912SAD/, /files/ENCFF356LFX/	26786	ENCODE Processing Pipeline	7e5bb2052d9e805c1b2e71d728637010		https://www.encodeproject.org/files/ENCFF718OGI/@@download/ENCFF718OGI.bed.gz				released	s3://encode-public/2021/02/16/56be009b-ee57-4c34-8108-4be119f19a4f/ENCFF718OGI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/56be009b-ee57-4c34-8108-4be119f19a4f/ENCFF718OGI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF831PCK	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF912SAD/	806212	ENCODE Processing Pipeline	239af32aba3e9cdc7151570b32aa5dcd		https://www.encodeproject.org/files/ENCFF831PCK/@@download/ENCFF831PCK.bed.gz				released	s3://encode-public/2021/02/16/33d5b33d-90e1-4765-a5cd-629e7099392a/ENCFF831PCK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/33d5b33d-90e1-4765-a5cd-629e7099392a/ENCFF831PCK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF822YLB	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000EUN	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										ZNF274-human	DNA						2012-08-20	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF526ZIN/, /files/ENCFF276WGP/, /files/ENCFF912SAD/, /files/ENCFF356LFX/	18744	ENCODE Processing Pipeline	bb1d0e1e4aa45f7d64046b65087f4c5f		https://www.encodeproject.org/files/ENCFF822YLB/@@download/ENCFF822YLB.bed.gz				released	s3://encode-public/2021/02/16/022476ab-09c5-42f8-b4fd-34ebacf5eeba/ENCFF822YLB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/16/022476ab-09c5-42f8-b4fd-34ebacf5eeba/ENCFF822YLB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.7.0 GRCh38	released	borderline replicate concordance, low read length		extremely low read depth
ENCFF045DFZ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF948LKH/, /files/ENCFF777MZR/	4410502	ENCODE Processing Pipeline	8ba8b157f76f8815d7b58c13707f7a10		https://www.encodeproject.org/files/ENCFF045DFZ/@@download/ENCFF045DFZ.bed.gz				released	s3://encode-public/2016/12/16/e8f8fd1b-3af8-4c1b-8a63-f632d4ac31ba/ENCFF045DFZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/e8f8fd1b-3af8-4c1b-8a63-f632d4ac31ba/ENCFF045DFZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length, low read depth		
ENCFF229UAJ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1	1_1							/files/ENCFF948LKH/, /files/ENCFF054DVF/	4053676	ENCODE Processing Pipeline	5ef90a1530e93ca17c324c62979d7cfd		https://www.encodeproject.org/files/ENCFF229UAJ/@@download/ENCFF229UAJ.bed.gz				released	s3://encode-public/2016/12/16/30edd723-77e5-4821-99e8-d4aed92951f0/ENCFF229UAJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/30edd723-77e5-4821-99e8-d4aed92951f0/ENCFF229UAJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length, low read depth		
ENCFF678RLO	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF948LKH/, /files/ENCFF054DVF/, /files/ENCFF777MZR/	4884681	ENCODE Processing Pipeline	3301882b37b432f5af5c4e437c07c7c2		https://www.encodeproject.org/files/ENCFF678RLO/@@download/ENCFF678RLO.bed.gz				released	s3://encode-public/2016/12/16/f99c3ff5-fa7b-45d5-b65e-23abc096fff6/ENCFF678RLO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/f99c3ff5-fa7b-45d5-b65e-23abc096fff6/ENCFF678RLO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length, low read depth		
ENCFF004MNA	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF229UAJ/, /files/ENCFF419RSJ/, /files/ENCFF678RLO/, /files/ENCFF045DFZ/	161584	ENCODE Processing Pipeline	4e185ab5defde4572463e89b979baeac		https://www.encodeproject.org/files/ENCFF004MNA/@@download/ENCFF004MNA.bed.gz				released	s3://encode-public/2016/12/16/8400d3c6-e0ea-4421-8434-f053892059f7/ENCFF004MNA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/8400d3c6-e0ea-4421-8434-f053892059f7/ENCFF004MNA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length, low read depth		
ENCFF477ANT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF229UAJ/, /files/ENCFF419RSJ/, /files/ENCFF678RLO/, /files/ENCFF045DFZ/	205541	ENCODE Processing Pipeline	29679d804ec39d878f61ec037a69b2b7		https://www.encodeproject.org/files/ENCFF477ANT/@@download/ENCFF477ANT.bed.gz				released	s3://encode-public/2016/12/16/a63c1b36-c854-4a43-8566-40cbff8a43c7/ENCFF477ANT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/12/16/a63c1b36-c854-4a43-8566-40cbff8a43c7/ENCFF477ANT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	borderline replicate concordance, low read length, low read depth		
ENCFF946LUD	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF595PNZ/, /files/ENCFF950CIA/	1876005	ENCODE Processing Pipeline	1f4c518ce3ddb36a22c9768631166cc5		https://www.encodeproject.org/files/ENCFF946LUD/@@download/ENCFF946LUD.bed.gz				released	s3://encode-public/2021/01/02/76d9d6dc-34ce-487b-a264-7ee4c6ef5318/ENCFF946LUD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/76d9d6dc-34ce-487b-a264-7ee4c6ef5318/ENCFF946LUD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read length, low read depth		
ENCFF100KKH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF356LFX/, /files/ENCFF950CIA/, /files/ENCFF024TLY/	200784	ENCODE Processing Pipeline	229cf679dca12d41238c34fec3fa7bfa		https://www.encodeproject.org/files/ENCFF100KKH/@@download/ENCFF100KKH.bed.gz				released	s3://encode-public/2021/01/02/ac80e369-b01b-418b-978f-6381f9febd8d/ENCFF100KKH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/ac80e369-b01b-418b-978f-6381f9febd8d/ENCFF100KKH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read length, low read depth		
ENCFF586UGW	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1	1_1							/files/ENCFF595PNZ/, /files/ENCFF024TLY/	1234612	ENCODE Processing Pipeline	3ce9e19409f046d7cf33295e7bd6c1b7		https://www.encodeproject.org/files/ENCFF586UGW/@@download/ENCFF586UGW.bed.gz				released	s3://encode-public/2021/01/02/5aeb91ff-fc01-426d-b5e1-47e785d8f883/ENCFF586UGW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/5aeb91ff-fc01-426d-b5e1-47e785d8f883/ENCFF586UGW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read length, low read depth		
ENCFF008UIY	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF595PNZ/, /files/ENCFF356LFX/, /files/ENCFF950CIA/, /files/ENCFF024TLY/	164460	ENCODE Processing Pipeline	347cc2efd1c9cbe8b7c7c1bf5e0fc71f		https://www.encodeproject.org/files/ENCFF008UIY/@@download/ENCFF008UIY.bed.gz				released	s3://encode-public/2021/01/02/4a07aea9-1b81-4059-a33f-e2e4689f6527/ENCFF008UIY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/4a07aea9-1b81-4059-a33f-e2e4689f6527/ENCFF008UIY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read length, low read depth		
ENCFF558CCU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BJA	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										EGR1-human	DNA						2011-07-18	ENCODE		see document		1	1_1							/files/ENCFF595PNZ/, /files/ENCFF356LFX/, /files/ENCFF024TLY/	66249	ENCODE Processing Pipeline	7c2e54603bedee37058943e65fcb8cd9		https://www.encodeproject.org/files/ENCFF558CCU/@@download/ENCFF558CCU.bed.gz				released	s3://encode-public/2021/01/02/708f6426-3d2a-4107-8e75-7ee69db6d01b/ENCFF558CCU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/708f6426-3d2a-4107-8e75-7ee69db6d01b/ENCFF558CCU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read length, low read depth		
